antenna name=patcharray
antenna size=1.500000000000e-02
measurement surface=sphere
freq=27000000000.000000
sampling point=900
sampling space=0.000000000000e+00
#data
x,y,z,realEx,realEy,realEz,imgEx,imgEy,imgEz
-8.397782031205e-03,0.000000000000e+00,-1.815150839342e-02,-1.168722977794e+01,-3.372976273191e+00,3.420079854642e+00,-1.316939954952e+01,-3.722348811753e+00,7.171904678843e+00
-1.031107714354e-02,0.000000000000e+00,-1.713714352335e-02,-1.315043466752e+01,-4.114043930915e+00,5.107483743037e+00,-1.615939192368e+01,-5.459509104204e+00,9.180419427728e+00
-1.210348430388e-02,0.000000000000e+00,-1.592186131411e-02,-1.246411936141e+01,-4.581004555085e+00,6.157321409556e+00,-1.903855425205e+01,-6.989821440041e+00,1.195662884830e+01
-1.375398917707e-02,0.000000000000e+00,-1.451990983846e-02,-9.880352122917e+00,-4.753165487349e+00,5.924855326364e+00,-2.111086096495e+01,-8.253276085388e+00,1.529431757049e+01
-1.524324110255e-02,0.000000000000e+00,-1.294772569564e-02,-6.062941201527e+00,-4.662302726104e+00,3.964954082568e+00,-2.186486400870e+01,-9.236215387138e+00,1.873022264041e+01
-1.655377996314e-02,0.000000000000e+00,-1.122374130725e-02,-1.904083123085e+00,-4.372597748325e+00,1.435832953707e-01,-2.114735138655e+01,-9.970224720502e+00,2.169420699649e+01
-1.767024088892e-02,0.000000000000e+00,-9.368168813996e-03,1.710476548951e+00,-3.957432434794e+00,-5.368659236677e+00,-1.920372775002e+01,-1.052179259015e+01,2.371081228790e+01
-1.857953439634e-02,0.000000000000e+00,-7.402763106798e-03,4.088981941038e+00,-3.480781563672e+00,-1.221574535496e+01,-1.657403228760e+01,-1.097532091511e+01,2.457001407814e+01
-1.927099985038e-02,0.000000000000e+00,-5.350566770584e-03,4.799754141170e+00,-2.987605533852e+00,-2.002655713641e+01,-1.389637610142e+01,-1.141402025912e+01,2.440616519628e+01
-1.973653045083e-02,0.000000000000e+00,-3.235639931055e-03,3.604207259992e+00,-2.503346180882e+00,-2.854968211391e+01,-1.169776858036e+01,-1.190307569202e+01,2.367478778697e+01
-1.997066827702e-02,0.000000000000e+00,-1.082778171708e-03,3.108814173631e-01,-2.039315864664e+00,-3.768528672371e+01,-1.023325644305e+01,-1.247759508952e+01,2.306236000330e+01
-1.997066827702e-02,0.000000000000e+00,1.082778171708e-03,-5.359905352560e+00,-1.599492521654e+00,-4.739693093509e+01,-9.389038215082e+00,-1.313562262645e+01,2.337476768356e+01
-1.973653045083e-02,0.000000000000e+00,3.235639931055e-03,-1.381786209235e+01,-1.184883553463e+00,-5.754023636441e+01,-8.632253215642e+00,-1.383529710364e+01,2.542373716004e+01
-1.927099985038e-02,0.000000000000e+00,5.350566770584e-03,-2.550730295927e+01,-7.934529306255e-01,-6.768209240880e+01,-6.995153059212e+00,-1.449557872920e+01,2.989512417570e+01
-1.857953439634e-02,0.000000000000e+00,7.402763106798e-03,-4.068591710549e+01,-4.159024064422e-01,-7.699589773523e+01,-3.116420307332e+00,-1.500128213809e+01,3.717426309791e+01
-1.767024088892e-02,0.000000000000e+00,9.368168813996e-03,-5.914604483474e+01,-2.986937233376e-02,-8.430333074851e+01,4.608649014865e+00,-1.521417754985e+01,4.713685745040e+01
-1.655377996314e-02,0.000000000000e+00,1.122374130725e-02,-7.998985325526e+01,4.032071772003e-01,-8.828916784527e+01,1.773107337951e+01,-1.499148097924e+01,5.896967559471e+01
-1.524324110255e-02,0.000000000000e+00,1.294772569564e-02,-1.015771928108e+02,9.340428532834e-01,-8.784783155062e+01,3.732964699137e+01,-1.421081590668e+01,7.112134475397e+01
-1.375398917707e-02,0.000000000000e+00,1.451990983846e-02,-1.217191146502e+02,1.611729917887e+00,-8.245203972916e+01,6.357779142129e+01,-1.279756421456e+01,8.146463571399e+01
-1.210348430388e-02,0.000000000000e+00,1.592186131411e-02,-1.380979989123e+02,2.461757443077e+00,-7.240168318109e+01,9.545049074506e+01,-1.074815214482e+01,8.767648920558e+01
-1.031107714354e-02,0.000000000000e+00,1.713714352335e-02,-1.487952684880e+02,3.462161282965e+00,-5.884102784233e+01,1.307036637154e+02,-8.142785551248e+00,8.774692909522e+01
-8.397782031205e-03,0.000000000000e+00,1.815150839342e-02,-1.527506567112e+02,4.527306947924e+00,-4.351804861093e+01,1.661696704339e+02,-5.143771930334e+00,8.046419466125e+01
-6.386030602720e-03,0.000000000000e+00,1.895306342366e-02,-1.499947402767e+02,5.508336655274e+00,-2.836183201691e+01,1.982998775588e+02,-1.979620703989e+00,6.572471634238e+01
-4.299408804220e-03,0.000000000000e+00,1.953241111420e-02,-1.415813890417e+02,6.214734119198e+00,-1.502334863328e+01,2.238020882303e+02,1.081403581416e+00,4.458007126083e+01
-2.162380368479e-03,0.000000000000e+00,1.988275914309e-02,-1.292576264814e+02,6.454252475361e+00,-4.531085314603e+00,2.402012410530e+02,3.763157995924e+00,1.902461147104e+01
-0.000000000000e+00,0.000000000000e+00,2.000000000000e-02,-1.149952356336e+02,6.081358504403e+00,2.840988907578e+00,2.461951568489e+02,5.814439095421e+00,-8.395379774085e+00
